run_id,coating_gap,position,frame_number,defect_ratio,moving_average,ewma,ucl,center,label_crack,label_delam,label_pinhole
R1,600,top-to-bottom-center,418,0.0571,0.1752,0.1542,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,418,0.1429,0.1695,0.152,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,418,0.0286,0.1676,0.1273,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,418,0.0857,0.1724,0.119,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,432,0.0571,0.1648,0.1066,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,432,0.0571,0.1448,0.0967,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,432,0.0143,0.1305,0.0802,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,432,0.2,0.1238,0.1042,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,457,0.0429,0.1133,0.0919,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,457,0.0714,0.1114,0.0878,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,457,0.0714,0.1095,0.0845,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,457,0.0429,0.0943,0.0762,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,457,0.0429,0.0762,0.0695,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,459,0.0714,0.0743,0.0699,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,459,0.0714,0.0705,0.0702,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,459,0.0571,0.0705,0.0676,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,459,0.0143,0.0619,0.0569,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,459,0.0714,0.0648,0.0598,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,459,0.0429,0.0619,0.0564,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,459,0.0571,0.0619,0.0566,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,464,0.0714,0.0629,0.0596,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,464,0.0714,0.0667,0.0619,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,477,0.0714,0.0581,0.0638,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,477,0.0571,0.059,0.0625,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,486,0.0286,0.0562,0.0557,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,486,0.0429,0.0543,0.0531,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,511,0.2143,0.0657,0.0854,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,511,0.1286,0.0714,0.094,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,511,0.1571,0.0771,0.1066,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,511,0.0429,0.0752,0.0939,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,511,0.0143,0.0724,0.078,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,525,0.0286,0.0733,0.0681,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,525,0.0429,0.0714,0.063,0.1752,0.0418,1,0,1
